course_key,course_name,instructor,difficulty_level,certification_offered,study_material_available,course_duration_hours,course_price,feedback_score,enrollment_numbers,course_text
Python for Beginners | Emma Harris | Beginner,Python for Beginners,Emma Harris,Beginner,Yes,Yes,39.1,317.5,0.797,21600,"Course: Python for Beginners, Instructor: Emma Harris, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 39.1 hours, Price: 317.5, Feedback Score: 0.797"
Cybersecurity for Professionals | Alexander Young | Beginner,Cybersecurity for Professionals,Alexander Young,Beginner,Yes,Yes,36.3,40.99,0.77,15379,"Course: Cybersecurity for Professionals, Instructor: Alexander Young, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 36.3 hours, Price: 40.99, Feedback Score: 0.77"
DevOps and Continuous Deployment | Dr. Mia Walker | Beginner,DevOps and Continuous Deployment,Dr. Mia Walker,Beginner,Yes,Yes,13.4,380.81,0.772,6431,"Course: DevOps and Continuous Deployment, Instructor: Dr. Mia Walker, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 13.4 hours, Price: 380.81, Feedback Score: 0.772"
Project Management Fundamentals | Benjamin Lewis | Beginner,Project Management Fundamentals,Benjamin Lewis,Beginner,Yes,No,58.3,342.8,0.969,48245,"Course: Project Management Fundamentals, Instructor: Benjamin Lewis, Difficulty: Beginner, Certification: Yes, Study Material: No, Duration: 58.3 hours, Price: 342.8, Feedback Score: 0.969"
Ethical Hacking Masterclass | Daniel White | Beginner,Ethical Hacking Masterclass,Daniel White,Beginner,Yes,Yes,30.8,381.01,0.555,34556,"Course: Ethical Hacking Masterclass, Instructor: Daniel White, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 30.8 hours, Price: 381.01, Feedback Score: 0.555"
Ethical Hacking Masterclass | Dr. John Smith | Advanced,Ethical Hacking Masterclass,Dr. John Smith,Advanced,Yes,Yes,76.7,250.94,0.509,36249,"Course: Ethical Hacking Masterclass, Instructor: Dr. John Smith, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 76.7 hours, Price: 250.94, Feedback Score: 0.509"
Networking and System Administration | Dr. Robert Davis | Beginner,Networking and System Administration,Dr. Robert Davis,Beginner,Yes,Yes,44.9,389.32,0.893,41050,"Course: Networking and System Administration, Instructor: Dr. Robert Davis, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 44.9 hours, Price: 389.32, Feedback Score: 0.893"
Ethical Hacking Masterclass | Liam Adams | Beginner,Ethical Hacking Masterclass,Liam Adams,Beginner,No,No,98.3,131.45,0.635,33808,"Course: Ethical Hacking Masterclass, Instructor: Liam Adams, Difficulty: Beginner, Certification: No, Study Material: No, Duration: 98.3 hours, Price: 131.45, Feedback Score: 0.635"
Personal Finance and Wealth Building | Benjamin Lewis | Beginner,Personal Finance and Wealth Building,Benjamin Lewis,Beginner,Yes,Yes,68.5,116.43,0.811,11502,"Course: Personal Finance and Wealth Building, Instructor: Benjamin Lewis, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 68.5 hours, Price: 116.43, Feedback Score: 0.811"
Blockchain and Decentralized Applications | Benjamin Lewis | Intermediate,Blockchain and Decentralized Applications,Benjamin Lewis,Intermediate,Yes,Yes,45.7,110.35,0.527,25697,"Course: Blockchain and Decentralized Applications, Instructor: Benjamin Lewis, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 45.7 hours, Price: 110.35, Feedback Score: 0.527"
Graphic Design with Canva | Alexander Young | Beginner,Graphic Design with Canva,Alexander Young,Beginner,Yes,Yes,69.0,382.03,1.0,3341,"Course: Graphic Design with Canva, Instructor: Alexander Young, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 69.0 hours, Price: 382.03, Feedback Score: 1.0"
Fitness and Nutrition Coaching | Liam Adams | Intermediate,Fitness and Nutrition Coaching,Liam Adams,Intermediate,Yes,Yes,100.0,430.23,0.78,3532,"Course: Fitness and Nutrition Coaching, Instructor: Liam Adams, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 100.0 hours, Price: 430.23, Feedback Score: 0.78"
Public Speaking Mastery | Benjamin Lewis | Intermediate,Public Speaking Mastery,Benjamin Lewis,Intermediate,No,Yes,78.8,225.97,0.796,30597,"Course: Public Speaking Mastery, Instructor: Benjamin Lewis, Difficulty: Intermediate, Certification: No, Study Material: Yes, Duration: 78.8 hours, Price: 225.97, Feedback Score: 0.796"
Blockchain and Decentralized Applications | Prof. Emily Johnson | Intermediate,Blockchain and Decentralized Applications,Prof. Emily Johnson,Intermediate,Yes,Yes,92.3,117.02,0.881,39258,"Course: Blockchain and Decentralized Applications, Instructor: Prof. Emily Johnson, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 92.3 hours, Price: 117.02, Feedback Score: 0.881"
Photography and Video Editing | Daniel White | Advanced,Photography and Video Editing,Daniel White,Advanced,Yes,Yes,74.0,388.7,0.62,40437,"Course: Photography and Video Editing, Instructor: Daniel White, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 74.0 hours, Price: 388.7, Feedback Score: 0.62"
DevOps and Continuous Deployment | Isabella Scott | Beginner,DevOps and Continuous Deployment,Isabella Scott,Beginner,Yes,Yes,56.2,100.75,0.722,16572,"Course: DevOps and Continuous Deployment, Instructor: Isabella Scott, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 56.2 hours, Price: 100.75, Feedback Score: 0.722"
Python for Beginners | Charlotte King | Beginner,Python for Beginners,Charlotte King,Beginner,Yes,Yes,11.1,426.0,0.966,43655,"Course: Python for Beginners, Instructor: Charlotte King, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 11.1 hours, Price: 426.0, Feedback Score: 0.966"
Advanced Machine Learning | Daniel White | Intermediate,Advanced Machine Learning,Daniel White,Intermediate,No,Yes,83.7,252.67,0.668,30473,"Course: Advanced Machine Learning, Instructor: Daniel White, Difficulty: Intermediate, Certification: No, Study Material: Yes, Duration: 83.7 hours, Price: 252.67, Feedback Score: 0.668"
Game Development with Unity | Dr. Robert Davis | Intermediate,Game Development with Unity,Dr. Robert Davis,Intermediate,Yes,Yes,82.4,442.55,0.636,36424,"Course: Game Development with Unity, Instructor: Dr. Robert Davis, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 82.4 hours, Price: 442.55, Feedback Score: 0.636"
Blockchain and Decentralized Applications | Isabella Scott | Advanced,Blockchain and Decentralized Applications,Isabella Scott,Advanced,No,Yes,81.7,49.89,0.619,21066,"Course: Blockchain and Decentralized Applications, Instructor: Isabella Scott, Difficulty: Advanced, Certification: No, Study Material: Yes, Duration: 81.7 hours, Price: 49.89, Feedback Score: 0.619"
Photography and Video Editing | Dr. John Smith | Advanced,Photography and Video Editing,Dr. John Smith,Advanced,Yes,Yes,56.8,149.22,0.648,33298,"Course: Photography and Video Editing, Instructor: Dr. John Smith, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 56.8 hours, Price: 149.22, Feedback Score: 0.648"
Cloud Computing Essentials | Sarah Lee | Intermediate,Cloud Computing Essentials,Sarah Lee,Intermediate,No,Yes,87.1,99.55,0.739,6067,"Course: Cloud Computing Essentials, Instructor: Sarah Lee, Difficulty: Intermediate, Certification: No, Study Material: Yes, Duration: 87.1 hours, Price: 99.55, Feedback Score: 0.739"
Fitness and Nutrition Coaching | Prof. Emily Johnson | Beginner,Fitness and Nutrition Coaching,Prof. Emily Johnson,Beginner,No,No,88.5,178.6,0.598,44312,"Course: Fitness and Nutrition Coaching, Instructor: Prof. Emily Johnson, Difficulty: Beginner, Certification: No, Study Material: No, Duration: 88.5 hours, Price: 178.6, Feedback Score: 0.598"
Mobile App Development with Swift | Sarah Lee | Intermediate,Mobile App Development with Swift,Sarah Lee,Intermediate,Yes,No,56.7,100.1,0.794,13140,"Course: Mobile App Development with Swift, Instructor: Sarah Lee, Difficulty: Intermediate, Certification: Yes, Study Material: No, Duration: 56.7 hours, Price: 100.1, Feedback Score: 0.794"
DevOps and Continuous Deployment | Prof. Emily Johnson | Advanced,DevOps and Continuous Deployment,Prof. Emily Johnson,Advanced,Yes,No,93.1,344.15,0.679,9425,"Course: DevOps and Continuous Deployment, Instructor: Prof. Emily Johnson, Difficulty: Advanced, Certification: Yes, Study Material: No, Duration: 93.1 hours, Price: 344.15, Feedback Score: 0.679"
Cybersecurity for Professionals | Charlotte King | Intermediate,Cybersecurity for Professionals,Charlotte King,Intermediate,No,No,43.5,337.79,0.967,30265,"Course: Cybersecurity for Professionals, Instructor: Charlotte King, Difficulty: Intermediate, Certification: No, Study Material: No, Duration: 43.5 hours, Price: 337.79, Feedback Score: 0.967"
Mobile App Development with Swift | Sophia Anderson | Intermediate,Mobile App Development with Swift,Sophia Anderson,Intermediate,Yes,Yes,37.4,492.52,0.758,696,"Course: Mobile App Development with Swift, Instructor: Sophia Anderson, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 37.4 hours, Price: 492.52, Feedback Score: 0.758"
Networking and System Administration | James Clark | Beginner,Networking and System Administration,James Clark,Beginner,Yes,Yes,52.4,299.01,0.709,46084,"Course: Networking and System Administration, Instructor: James Clark, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 52.4 hours, Price: 299.01, Feedback Score: 0.709"
Mobile App Development with Swift | Ethan Hall | Beginner,Mobile App Development with Swift,Ethan Hall,Beginner,Yes,Yes,34.6,210.72,0.903,2348,"Course: Mobile App Development with Swift, Instructor: Ethan Hall, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 34.6 hours, Price: 210.72, Feedback Score: 0.903"
